"Amphastar Pharmaceuticals, Inc.","AMPH",15.67,15.47,17.36,15.66,1459361,0.19,N/A
"Amplify Online Retail ETF","IBUY",33.43,33.62,33.65,33.43,29856,N/A,N/A
"Amtech Systems, Inc.","ASYS",8.50,8.33,8.63,8.06,35995,-0.22,N/A
"AmTrust Financial Services, Inc","AFSI",13.26,12.45,14.52,13.25,8528239,1.74,0.68
"Amyris, Inc.","AMRS",0.2635,0.2714,0.2752,0.2635,1196190,-0.4750,N/A
"Analog Devices, Inc.","ADI",82.50,82.34,82.89,81.94,1910621,2.93,1.80
"Analogic Corporation","ALOG",71.60,71.95,72.10,71.45,57814,1.86,0.40
"AnaptysBio, Inc.","ANAB",26.15,26.70,26.55,25.55,56587,-2.55,N/A
"Anavex Life Sciences Corp.","AVXL",5.95,5.94,5.97,5.85,132927,-0.36,N/A
"Anchor Bancorp","ANCB",N/A,24.95,N/A,N/A,24,0.83,N/A
"Andina Acquisition Corp. II - O","ANDA",N/A,10.17,N/A,N/A,0,-0.21,N/A
"Andina Acquisition Corp. II - R","ANDAR",0.50,0.45,0.50,0.49,2298,N/A,N/A
"Andina Acquisition Corp. II - U","ANDAU",N/A,10.84,N/A,N/A,0,N/A,N/A
"Andina Acquisition Corp. II","ANDAW",N/A,0.2801,N/A,N/A,0,N/A,N/A
"Angie\'s List, Inc.","ANGI",11.95,11.98,12.00,11.77,501835,-0.02,N/A
"AngioDynamics, Inc.","ANGO",15.76,15.77,15.83,15.53,99526,-0.70,N/A
"ANI Pharmaceuticals, Inc.","ANIP",47.17,47.40,47.39,45.66,163085,0.32,N/A
"Anika Therapeutics Inc.","ANIK",46.54,46.45,46.96,46.15,59146,2.07,N/A
"ANSYS, Inc.","ANSS",126.07,126.21,126.25,125.33,284264,3.09,N/A
"Antares Pharma, Inc.","ATRS",2.55,2.55,2.56,2.48,652229,-0.14,N/A
"Anthera Pharmaceuticals, Inc.","ANTH",1.75,1.74,1.79,1.65,125462,-12.21,N/A
"Aoxin Tianli Group, Inc.","ABAC",2.030,2.020,2.060,2.020,7804,0.530,N/A
"Apogee Enterprises, Inc.","APOG",52.36,52.47,53.29,52.27,139536,2.97,0.56
"Apollo Endosurgery, Inc.","APEN",6.57,6.50,6.57,6.37,1655,-13.79,N/A
"Apollo Investment Corporation -","AINV",6.41,6.38,6.42,6.35,631342,-0.06,0.60
"AppFolio, Inc.","APPF",28.10,27.85,28.70,27.85,94187,-0.12,N/A
"APPIAN CORP","APPN",15.25,15.01,17.39,15.23,1725787,-0.51,N/A
"Apple Inc.","AAPL",154.00,153.87,154.24,153.31,21927637,8.52,2.52
"Appliance Recycling Centers of ","ARCI",0.9000,0.8400,0.9000,0.8400,10687,0.1920,N/A
"Applied DNA Sciences Inc","APDN",1.20,1.20,1.26,1.16,109749,-0.53,N/A
"Applied DNA Sciences Inc - Warr","APDNW",0.2995,0.2500,0.2995,0.2500,8555,N/A,N/A
"Applied Genetic Technologies Co","AGTC",5.40,5.45,5.50,5.15,166816,0.63,N/A
"Applied Materials, Inc.","AMAT",44.87,45.02,45.50,44.75,6633378,2.42,0.40
"Applied Optoelectronics, Inc.","AAOI",67.37,67.88,72.95,67.12,3885037,2.84,N/A
"Approach Resources Inc.","AREX",2.74,2.76,2.81,2.64,1052210,-3.68,N/A
"Apptio, Inc.","APTI",16.12,16.11,16.49,16.02,412970,-1.24,N/A
"Apricus Biosciences, Inc.","APRI",0.93,0.96,0.99,0.91,72724,-1.14,N/A

